Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
6347,40.7507,-119.3424,6347,697,2.88,NV,Washoe,Hualapai Flat South,no,45814
Black Warrior Peak,39.913,-119.2441,6338,752,5.8,NV,Washoe,Black Warrior Peak,no,45840
Boulder Benchmark,41.4182,-119.7969,6335,370,3.17,NV,Washoe,Boulder Lake,no,45843
Kits Peak,40.2646,-119.4941,6327,387,1.76,NV,Washoe,San Emidio Desert South,no,45857
6313,41.2555,-119.3663,6313,483,3.61,NV,Washoe,High Rock Lake,no,45878
6310,40.3423,-119.5487,6310,450,3.62,NV,Washoe,Fox Canyon,no,45883
6305,39.4243,-119.6638,6305,335,0.95,NV,Washoe,Steamboat,no,45895
Painted Point,41.5926,-119.6984,6294,524,6.07,NV,Washoe,Painted Point,no,45925
6285,40.3323,-119.5487,6285,305,0.69,NV,Washoe,Fox Canyon,no,45944
Wind Benchmark,40.4038,-119.3608,6271,1501,4.98,NV,Washoe,Kumiva Peak,no,45965
6253,39.6122,-119.4115,6253,627,3.91,NV,Washoe,Derby Dam,no,45994
6253,41.1981,-119.8193,6253,523,5.2,NV,Washoe,Wall Canyon Reservoir,no,45993
6238,41.1193,-119.9725,6238,368,3.74,NV,Washoe,Duck Lake,no,46020
6237,41.1773,-119.3497,6237,487,1.76,NV,Washoe,McConnel Canyon,no,46025
6228,39.8486,-119.2217,6228,888,3.82,NV,Washoe,Juniper Peak,no,46035
6221,40.3935,-119.9095,6221,1001,7.47,NV,Washoe,Red Rock Canyon,no,46043
Black Mountain,40.452,-119.9322,6219,389,4.22,NV,Washoe,Red Rock Canyon,no,46058
Smoke Benchmark,40.5193,-119.9382,6186,756,4.67,NV,Washoe,Smoke Creek Ranch,no,46099
Steamboat Hills,39.3671,-119.79,6178,708,6.29,NV,Washoe,Washoe City,no,46114
Spanish Benchmark,39.6507,-119.7691,6161,1011,9.74,NV,Washoe,Reno NE,no,46143
Granite Peak,39.8471,-119.884,6151,394,4.98,NV,Washoe,Granite Peak,no,46156
Buttes The,41.2643,-119.7201,6149,324,4.52,NV,Washoe,Pinto Springs,no,46160
Mud Benchmark,40.514,-119.5269,6114,374,2.36,NV,Washoe,Smith Canyon,no,46201
Black Hills,41.5404,-119.729,6110,380,3.94,NV,Washoe,Painted Point,no,46212
6098,40.1812,-119.5003,6098,438,1.38,NV,Washoe,Tohakum Peak NW,no,46238
6096,41.2072,-119.9647,6096,306,3.27,NV,Washoe,Pegleg Canyon,no,46244
Yellow Hills,41.4566,-119.3649,6093,521,4.45,NV,Washoe,Yellow Hills East,no,46250
6093,39.989,-119.4236,6093,433,2.27,NV,Washoe,Nixon NW,no,46249
Burro Mountain,40.5538,-119.8853,6092,1082,3.66,NV,Washoe,Smoke Creek Ranch,no,46253
6075,39.4669,-119.7006,6075,885,2.91,NV,Washoe,Steamboat,no,46278
6073,41.0056,-119.6353,6073,443,4.25,NV,Washoe,Lost Creek Pass,no,46284
6072,40.7024,-119.9141,6072,322,4.36,NV,Washoe,Mixie Flat,no,46285
Seven Lakes Mountain,39.915,-119.9418,6059,1089,4.88,NV,Washoe,Seven Lakes Mountain,no,46317
6054,40.6959,-119.8938,6054,324,1.16,NV,Washoe,Mixie Flat,no,46323
6050,40.6431,-119.9157,6050,320,1.22,NV,Washoe,Mixie Flat,no,46326
6033,41.5697,-119.3807,6033,383,1.97,NV,Washoe,Nut Mountain,no,46348
Juniper Ridge,39.7142,-119.8418,6030,620,4.52,NV,Washoe,Reno NE,no,46352
Hungry Ridge North,39.7414,-119.7091,6023,955,6.75,NV,Washoe,Griffith Canyon,no,46368
Coyote Ridge,39.7225,-119.8183,6021,531,1.38,NV,Washoe,Reno NE,no,46374
Warm Springs Mountain,39.7954,-119.7671,6020,722,4.72,NV,Washoe,Bedell Flat,no,46324
